n,m,encode_time,decode_time,count_flips
0,0,0.00013778209686279296,6.699562072753907e-06,0
200,100,0.007961869239807129,0.000266265869140625,183
400,200,0.02635042667388916,0.0006154775619506836,405
600,300,0.050056076049804686,0.0010454893112182618,592
800,400,0.08687763214111328,0.0013335943222045898,850
1000,500,0.13874881267547606,0.0024771928787231446,1101
1200,600,0.16914808750152588,0.002359914779663086,1307
1400,700,0.23697047233581542,0.0031043291091918945,1561
1600,800,0.34957997798919677,0.0045005083084106445,1809
1800,900,0.4114842414855957,0.004887866973876953,2161
2000,1000,0.5387871503829956,0.006586408615112305,2312
2200,1100,0.5983097791671753,0.006788778305053711,2626
2400,1200,0.7030502557754517,0.008613252639770507,2969
2600,1300,0.8841093063354493,0.010776710510253907,3115
2800,1400,0.9205286026000976,0.01029956340789795,3375
3000,1500,1.024553894996643,0.011493277549743653,3625
3200,1600,1.2098438262939453,0.013273525238037109,3913
3400,1700,1.6627941131591797,0.017536115646362305,4213
3600,1800,1.9407971143722533,0.01940929889678955,4505
3800,1900,2.043948745727539,0.0203296422958374,4809
4000,2000,2.433921790122986,0.02275078296661377,5041
4200,2100,2.6182374477386476,0.02827126979827881,5355
4400,2200,2.815204215049744,0.02982168197631836,5604
4600,2300,2.976921272277832,0.030667638778686522,5772
4800,2400,3.2578644037246702,0.035829925537109376,5997
5000,2500,3.6253887176513673,0.03480331897735596,6399
5200,2600,4.144599890708923,0.04078409671783447,6722
5400,2700,4.301925301551819,0.044304418563842776,6731
5600,2800,4.833036255836487,0.047616887092590335,7314
5800,2900,5.3840868949890135,0.057046818733215335,7509
6000,3000,5.428710699081421,0.052457451820373535,7701
6200,3100,5.568727374076843,0.0592465877532959,8107
6400,3200,5.935695695877075,0.06314206123352051,8318
6600,3300,6.293172860145569,0.06340770721435547,8554
6800,3400,6.947829246520996,0.07188642024993896,8910
7000,3500,7.34997251033783,0.08440783023834228,9253
7200,3600,6.870634412765503,0.07274422645568848,9609
7400,3700,7.168807768821717,0.08030591011047364,9699
7600,3800,6.7526935338974,0.07446672916412353,10024
7800,3900,9.560221648216247,0.09923877716064453,10429
8000,4000,10.04836847782135,0.12137854099273682,10953
8200,4100,9.936697554588317,0.12039110660552979,10908
8400,4200,10.913618993759155,0.12273256778717041,11141
8600,4300,10.34041657447815,0.11201391220092774,11636
8800,4400,11.601456332206727,0.13232848644256592,11596
9000,4500,12.683464694023133,0.1409536838531494,12253
9200,4600,13.241376566886903,0.1703211784362793,12325
9400,4700,14.925869250297547,0.14885334968566893,13125
9600,4800,15.436859726905823,0.17734532356262206,13023
9800,4900,14.841363096237183,0.18063004016876222,13788
